Graph type;Number of nodes;Edge chance;Opinions affected by Cascade;Opinions Changed by Cascade;Exploration Mode
random;50;0.0;0;0;bfs
random;50;0.0;0;0;bfs
random;50;0.0;0;0;bfs
random;50;0.0;0;0;bfs
random;50;0.0;0;0;bfs
random;50;0.0;0;0;bfs
random;50;0.0;0;0;bfs
random;50;0.0;0;0;bfs
random;50;0.0;0;0;bfs
random;50;0.0;0;0;bfs
random;50;0.1;31;8;bfs
random;50;0.1;27;5;bfs
random;50;0.1;27;3;bfs
random;50;0.1;27;9;bfs
random;50;0.1;33;10;bfs
random;50;0.1;28;6;bfs
random;50;0.1;27;4;bfs
random;50;0.1;25;8;bfs
random;50;0.1;33;17;bfs
random;50;0.1;26;5;bfs
random;50;0.2;44;12;bfs
random;50;0.2;46;15;bfs
random;50;0.2;43;14;bfs
random;50;0.2;43;9;bfs
random;50;0.2;43;8;bfs
random;50;0.2;42;10;bfs
random;50;0.2;41;11;bfs
random;50;0.2;42;6;bfs
random;50;0.2;40;11;bfs
random;50;0.2;42;15;bfs
random;50;0.30000000000000004;47;16;bfs
random;50;0.30000000000000004;43;7;bfs
random;50;0.30000000000000004;47;27;bfs
random;50;0.30000000000000004;45;15;bfs
random;50;0.30000000000000004;47;22;bfs
random;50;0.30000000000000004;42;14;bfs
random;50;0.30000000000000004;41;13;bfs
random;50;0.30000000000000004;44;12;bfs
random;50;0.30000000000000004;44;11;bfs
random;50;0.30000000000000004;47;16;bfs
random;50;0.4;42;14;bfs
random;50;0.4;46;13;bfs
random;50;0.4;46;17;bfs
random;50;0.4;46;18;bfs
random;50;0.4;45;20;bfs
random;50;0.4;45;20;bfs
random;50;0.4;45;31;bfs
random;50;0.4;46;18;bfs
random;50;0.4;48;13;bfs
random;50;0.4;44;12;bfs
random;50;0.5;45;21;bfs
random;50;0.5;44;14;bfs
random;50;0.5;48;19;bfs
random;50;0.5;45;12;bfs
random;50;0.5;45;24;bfs
random;50;0.5;48;16;bfs
random;50;0.5;46;20;bfs
random;50;0.5;45;18;bfs
random;50;0.5;47;15;bfs
random;50;0.5;45;14;bfs
random;50;0.6000000000000001;47;13;bfs
random;50;0.6000000000000001;47;11;bfs
random;50;0.6000000000000001;48;16;bfs
random;50;0.6000000000000001;46;12;bfs
random;50;0.6000000000000001;46;14;bfs
random;50;0.6000000000000001;46;17;bfs
random;50;0.6000000000000001;46;16;bfs
random;50;0.6000000000000001;47;15;bfs
random;50;0.6000000000000001;46;15;bfs
random;50;0.6000000000000001;46;15;bfs
random;50;0.7000000000000001;47;20;bfs
random;50;0.7000000000000001;47;16;bfs
random;50;0.7000000000000001;46;18;bfs
random;50;0.7000000000000001;47;17;bfs
random;50;0.7000000000000001;46;13;bfs
random;50;0.7000000000000001;46;16;bfs
random;50;0.7000000000000001;47;16;bfs
random;50;0.7000000000000001;46;12;bfs
random;50;0.7000000000000001;47;17;bfs
random;50;0.7000000000000001;46;36;bfs
random;50;0.8;48;20;bfs
random;50;0.8;47;12;bfs
random;50;0.8;48;12;bfs
random;50;0.8;46;15;bfs
random;50;0.8;47;12;bfs
random;50;0.8;47;14;bfs
random;50;0.8;47;14;bfs
random;50;0.8;48;17;bfs
random;50;0.8;46;13;bfs
random;50;0.8;47;13;bfs
random;50;0.9;48;33;bfs
random;50;0.9;46;20;bfs
random;50;0.9;47;13;bfs
random;50;0.9;48;16;bfs
random;50;0.9;47;12;bfs
random;50;0.9;48;17;bfs
random;50;0.9;48;31;bfs
random;50;0.9;47;16;bfs
random;50;0.9;48;16;bfs
random;50;0.9;47;6;bfs
random;50;1.0;48;13;bfs
random;50;1.0;48;13;bfs
random;50;1.0;48;18;bfs
random;50;1.0;48;29;bfs
random;50;1.0;48;16;bfs
random;50;1.0;47;19;bfs
random;50;1.0;48;17;bfs
random;50;1.0;48;22;bfs
random;50;1.0;48;15;bfs
random;50;1.0;48;17;bfs
