Graph type;Number of nodes;Edge chance;Opinions affected by Cascade;Opinions Changed by Cascade;Exploration Mode
random;50;0.3;45;19;bfs
random;50;0.3;47;16;bfs
random;50;0.3;43;12;bfs
random;50;0.3;46;28;bfs
random;50;0.3;42;10;bfs
random;50;0.3;46;19;bfs
random;50;0.3;40;7;bfs
random;50;0.3;44;11;bfs
random;50;0.3;45;14;bfs
random;50;0.3;45;9;bfs
random;50;0.3;45;15;bfs
random;50;0.3;45;18;bfs
random;50;0.3;41;15;bfs
random;50;0.3;39;7;bfs
random;50;0.3;41;14;bfs
random;50;0.3;42;10;bfs
random;50;0.3;44;10;bfs
random;50;0.3;45;26;bfs
random;50;0.3;44;14;bfs
random;50;0.3;47;16;bfs
random;100;0.3;97;32;bfs
random;100;0.3;96;27;bfs
random;100;0.3;92;30;bfs
random;100;0.3;92;32;bfs
random;100;0.3;95;34;bfs
random;100;0.3;92;23;bfs
random;100;0.3;94;63;bfs
random;100;0.3;93;32;bfs
random;100;0.3;94;35;bfs
random;100;0.3;96;35;bfs
random;100;0.3;98;24;bfs
random;100;0.3;95;33;bfs
random;100;0.3;94;30;bfs
random;100;0.3;95;25;bfs
random;100;0.3;92;37;bfs
random;100;0.3;93;20;bfs
random;100;0.3;93;27;bfs
random;100;0.3;97;31;bfs
random;100;0.3;95;28;bfs
random;100;0.3;92;19;bfs
random;150;0.3;145;84;bfs
random;150;0.3;144;41;bfs
random;150;0.3;143;85;bfs
random;150;0.3;147;62;bfs
random;150;0.3;147;43;bfs
random;150;0.3;144;101;bfs
random;150;0.3;145;43;bfs
random;150;0.3;144;51;bfs
random;150;0.3;145;50;bfs
random;150;0.3;146;39;bfs
random;150;0.3;144;40;bfs
random;150;0.3;145;47;bfs
random;150;0.3;145;57;bfs
random;150;0.3;144;47;bfs
random;150;0.3;147;49;bfs
random;150;0.3;144;41;bfs
random;150;0.3;145;40;bfs
random;150;0.3;145;55;bfs
random;150;0.3;147;57;bfs
random;150;0.3;145;43;bfs
random;200;0.3;195;71;bfs
random;200;0.3;190;61;bfs
random;200;0.3;196;56;bfs
random;200;0.3;193;55;bfs
random;200;0.3;193;54;bfs
random;200;0.3;191;47;bfs
random;200;0.3;196;76;bfs
random;200;0.3;191;65;bfs
random;200;0.3;196;130;bfs
random;200;0.3;193;62;bfs
random;200;0.3;197;66;bfs
random;200;0.3;197;63;bfs
random;200;0.3;196;55;bfs
random;200;0.3;194;62;bfs
random;200;0.3;191;63;bfs
random;200;0.3;196;69;bfs
random;200;0.3;193;60;bfs
random;200;0.3;193;62;bfs
random;200;0.3;197;133;bfs
random;200;0.3;194;68;bfs
random;250;0.3;243;147;bfs
random;250;0.3;246;89;bfs
random;250;0.3;242;158;bfs
random;250;0.3;244;75;bfs
random;250;0.3;242;79;bfs
random;250;0.3;244;73;bfs
random;250;0.3;246;73;bfs
random;250;0.3;244;87;bfs
random;250;0.3;246;83;bfs
random;250;0.3;247;77;bfs
random;250;0.3;245;68;bfs
random;250;0.3;243;77;bfs
random;250;0.3;243;72;bfs
random;250;0.3;241;75;bfs
random;250;0.3;243;88;bfs
random;250;0.3;243;77;bfs
random;250;0.3;242;83;bfs
random;250;0.3;244;73;bfs
random;250;0.3;248;78;bfs
random;250;0.3;248;160;bfs
random;300;0.3;295;75;bfs
random;300;0.3;294;88;bfs
random;300;0.3;297;110;bfs
random;300;0.3;295;193;bfs
random;300;0.3;295;93;bfs
random;300;0.3;295;92;bfs
random;300;0.3;296;200;bfs
random;300;0.3;294;103;bfs
random;300;0.3;297;98;bfs
random;300;0.3;292;93;bfs
random;300;0.3;297;96;bfs
random;300;0.3;293;100;bfs
random;300;0.3;292;109;bfs
random;300;0.3;296;110;bfs
random;300;0.3;294;107;bfs
random;300;0.3;296;91;bfs
random;300;0.3;295;95;bfs
random;300;0.3;296;91;bfs
random;300;0.3;292;85;bfs
random;300;0.3;295;89;bfs
random;350;0.3;344;113;bfs
random;350;0.3;343;220;bfs
random;350;0.3;346;110;bfs
random;350;0.3;345;114;bfs
random;350;0.3;346;105;bfs
random;350;0.3;344;227;bfs
random;350;0.3;341;115;bfs
random;350;0.3;346;113;bfs
random;350;0.3;345;105;bfs
random;350;0.3;344;106;bfs
random;350;0.3;345;118;bfs
random;350;0.3;345;223;bfs
random;350;0.3;342;103;bfs
random;350;0.3;343;134;bfs
random;350;0.3;345;113;bfs
random;350;0.3;344;117;bfs
random;350;0.3;344;115;bfs
random;350;0.3;343;106;bfs
random;350;0.3;345;110;bfs
random;350;0.3;347;131;bfs
random;400;0.3;394;130;bfs
random;400;0.3;396;122;bfs
random;400;0.3;392;129;bfs
random;400;0.3;395;115;bfs
random;400;0.3;397;262;bfs
random;400;0.3;394;139;bfs
random;400;0.3;393;116;bfs
random;400;0.3;395;120;bfs
random;400;0.3;394;264;bfs
random;400;0.3;396;128;bfs
random;400;0.3;395;264;bfs
random;400;0.3;395;130;bfs
random;400;0.3;394;128;bfs
random;400;0.3;395;139;bfs
random;400;0.3;396;120;bfs
random;400;0.3;396;126;bfs
random;400;0.3;393;118;bfs
random;400;0.3;392;125;bfs
random;400;0.3;394;137;bfs
random;400;0.3;396;267;bfs
random;450;0.3;443;171;bfs
random;450;0.3;443;146;bfs
random;450;0.3;447;137;bfs
random;450;0.3;443;147;bfs
random;450;0.3;447;273;bfs
random;450;0.3;444;133;bfs
random;450;0.3;445;144;bfs
random;450;0.3;446;145;bfs
random;450;0.3;445;165;bfs
random;450;0.3;443;150;bfs
random;450;0.3;445;150;bfs
random;450;0.3;444;285;bfs
random;450;0.3;442;292;bfs
random;450;0.3;445;164;bfs
random;450;0.3;446;138;bfs
random;450;0.3;446;287;bfs
random;450;0.3;443;133;bfs
random;450;0.3;445;162;bfs
random;450;0.3;442;292;bfs
random;450;0.3;444;142;bfs
random;500;0.3;495;180;bfs
random;500;0.3;495;183;bfs
random;500;0.3;492;338;bfs
random;500;0.3;497;164;bfs
random;500;0.3;496;158;bfs
random;500;0.3;496;142;bfs
random;500;0.3;495;330;bfs
random;500;0.3;492;153;bfs
random;500;0.3;493;142;bfs
random;500;0.3;490;172;bfs
random;500;0.3;496;167;bfs
random;500;0.3;492;160;bfs
random;500;0.3;493;177;bfs
random;500;0.3;494;148;bfs
random;500;0.3;497;155;bfs
random;500;0.3;494;149;bfs
random;500;0.3;492;181;bfs
random;500;0.3;492;149;bfs
random;500;0.3;494;172;bfs
random;500;0.3;497;157;bfs
