Graph type;Number of nodes;Edge chance;Opinions affected by Cascade;Opinions Changed by Cascade;Exploration Mode
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
random;1000;0.0;0;0;bfs
